17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
4.6,6.4,17.0,,,,
,7.54,17.0,,,,
,6.49,6.0,,,,
,6.14,17.0,,,,
6.14,6.92,17.0,,,,
7.37,6.33,14.0,,,,
,6.4,16.1,,,,
6.14,6.85,15.02,,,,
6.27,6.21,17.0,,,,
5.88,6.5,15.0,,,,
6.51,6.46,16.31,,,,
7.27,6.15,15.0,,,,
5.78,6.13,19.0,,,,
3.94,6.51,11.0,,,,
6.82,6.62,15.0,,,,
6.69,6.33,12.0,,,,
,7.5,18.1,,,,
4.04,6.5,16.0,,,,
,6.74,28.0,,,,
6.03,5.82,14.0,,,,
6.42,6.43,15.0,,,,
6.16,6.49,22.0,,,,
5.47,6.37,10.0,,,,
,6.9,13.9,,,,
6.17,7.16,18.0,,,,
7.42,5.33,8.0,,,,
8.27,6.26,16.7,,,,
8.29,6.34,17.8,,,,
7.99,6.26,4.6,,,,
7.32,7.02,14.1,,,,
8.08,7.13,46.2,,,,
8.41,6.82,14.0,,,,
8.72,6.8,11.1,,,,
8.38,6.93,14.5,,,,
8.94,4.74,17.9,,,,
6.89,6.83,17.2,,,,
7.87,6.86,15.3,,,,
7.9,6.68,,,,,
7.65,6.2,14.9,,,,
7.67,7.04,10.9,,,,
9.25,7.5,17.0,,,,
21.1,7.24,,,,,
8.26,7.02,146.0,,,,
8.26,7.02,146.0,,,,
8.46,6.94,,,,,
6.2,7.69,86.2,0.15,280.0,350.0,2.0
6.3,,58.9,0.23,300.0,13000.0,3.0
6.2,7.5,86.2,0.15,280.0,350.0,2.0
6.3,7.3,58.9,0.23,300.0,13000.0,3.0
6.3,,58.9,0.23,300.0,13000.0,3.0
6.3,7.3,58.9,0.23,300.0,13000.0,3.0
6.0,,75.6,0.14,800.0,3000.0,2.0
6.5,,55.9,0.15,800.0,13000.0,2.0
7.2,,55.2,0.07,70.0,280.0,2.0
7.3,,63.0,0.12,170.0,500.0,2.0
6.8,,62.3,0.37,300.0,800.0,7.0
7.3,6.9,63.0,0.12,170.0,500.0,2.0
6.8,6.9,62.3,0.37,300.0,800.0,7.0
6.0,7.2,75.6,0.14,800.0,3000.0,2.0
6.5,7.1,55.9,0.115,800.0,13000.0,2.0
7.2,6.9,55.2,0.07,7.0,280.0,2.0
5.9,,59.1,0.05,140.0,2400.0,2.0
6.9,,61.7,0.02,300.0,1100.0,2.0
7.8,,67.8,0.08,50.0,500.0,2.0
6.3,,78.0,0.2,300.0,500.0,2.0
5.9,6.7,59.1,0.05,140.0,2400.0,2.0
6.9,7.1,61.7,0.02,300.0,1100.0,2.0
7.8,7.2,67.8,0.08,50.0,500.0,2.0
6.3,7.2,78.0,0.2,300.0,500.0,2.0
6.1,,29.1,0.04,8000.0,24000.0,2.0
7.7,6.9,61.0,0.33,1100.0,5000.0,2.0
7.5,7.42,73.9,0.1,80.0,1100.0,2.0
7.3,,66.7,0.04,130.0,280.0,2.0
6.1,6.8,29.1,0.04,8000.0,24000.0,2.0
7.7,7.2,61.0,0.33,1100.0,5000.0,2.0
7.5,7.2,73.9,0.1,80.0,1100.0,2.0
7.3,6.8,66.7,0.04,130.0,280.0,2.0
7.2,7.71,57.4,0.18,500.0,800.0,2.0
6.8,6.2,36.6,0.11,1300.0,8000.0,2.0
7.7,7.69,69.3,0.13,50.0,500.0,2.0
7.3,7.62,,0.15,130.0,300.0,2.0
7.7,7.33,69.3,0.13,50.0,500.0,2.0
7.2,7.02,57.4,0.18,500.0,800.0,2.0
6.8,6.83,36.6,0.11,1300.0,800.0,2.0
7.3,7.24,,0.15,130.0,300.0,2.0
6.8,6.83,,0.11,1300.0,,2.0
7.2,7.02,,0.18,500.0,,2.0
7.7,7.33,,0.13,50.0,,2.0
7.3,7.24,,0.15,130.0,,2.0
7.2,7.75,77.3,0.07,3500.0,3500.0,2.0
6.5,7.17,41.8,0.05,1400.0,13000.0,3.0
7.1,7.38,64.3,0.1,80.0,800.0,2.0
7.5,7.3,58.3,0.15,90.0,1100.0,2.0
6.5,6.81,41.8,0.05,1400.0,13000.0,3.0
7.1,7.07,64.3,0.1,80.0,800.0,2.0
7.5,7.31,58.3,0.15,90.0,1100.0,2.0
7.2,6.83,77.3,0.07,3500.0,3500.0,2.0
6.5,6.81,,0.05,1400.0,,3.0
7.1,7.07,,0.1,80.0,,2.0
7.5,7.31,,0.15,90.0,,2.0
7.2,6.83,,0.07,3500.0,,2.0
7.8,6.8,64.9,0.18,30.0,50.0,2.0
