17_OD_mgl_02,18_PH,50_Condutivida_de_Eletrica_us_cm_a_20c,13_Nitratos_mgl_n),46_Coliformes_Fecais_nmp_100ml,47_Coliformes_Totais_nmp_100ml,7_DBO_mgl_02)
1.3,,152.7,0.02,50.0,3000.0,4.0
6.1,,177.0,0.17,1300.0,1300.0,3.0
5.9,6.5,20.5,0.11,5000.0,30000.0,2.0
6.9,7.0,58.2,0.01,130.0,500.0,2.0
7.7,7.4,77.4,0.04,50.0,300.0,2.0
7.1,6.9,52.0,0.14,500.0,3.0,2.0
5.9,,20.5,0.11,5000.0,30000.0,2.0
6.9,,58.2,0.01,130.0,500.0,2.0
7.7,,77.4,0.04,50.0,300.0,2.0
7.1,,52.0,0.14,500.0,3000.0,2.0
6.6,6.3,18.8,0.34,24000.0,24000.0,3.0
8.1,7.2,57.2,0.03,80.0,2.2,2.0
7.3,7.3,69.8,0.02,170.0,500.0,2.0
7.1,7.5,65.3,0.02,80.0,170.0,4.0
6.6,,18.6,0.34,24000.0,24000.0,3.0
8.1,7.11,57.2,0.03,80.0,2200.0,2.0
7.3,7.53,69.8,0.02,170.0,500.0,2.0
7.1,,65.3,0.02,80.0,170.0,4.0
7.3,6.72,40.7,0.18,1.1,2.8,2.0
7.6,7.35,59.9,0.05,50.0,300.0,3.0
8.3,7.49,74.9,0.09,30.0,70.0,2.0
7.2,7.33,,0.13,500.0,3.0,2.0
8.3,7.75,74.9,0.09,30.0,70.0,2.0
7.2,7.03,,0.13,500.0,3000.0,2.0
7.3,7.29,40.7,0.18,1100.0,2800.0,2.0
7.6,8.06,59.9,0.06,50.0,300.0,3.0
7.3,6.72,,0.18,1100.0,,2.0
7.6,7.35,,0.06,50.0,,3.0
8.3,7.49,,0.09,30.0,,2.0
7.2,7.33,,0.13,500.0,,2.0
,,,,,,
8.0,7.2,68.5,0.04,70.0,140.0,2.0
7.7,7.2,68.5,0.01,23.0,30.0,2.0
8.0,7.05,63.7,0.09,50.0,50.0,2.0
,,,,,,
8.0,7.81,60.2,0.04,70.0,140.0,2.0
7.7,7.54,68.5,0.01,23.0,30.0,2.0
8.0,7.59,83.7,0.09,50.0,50.0,2.0
0.0,0.0,,0.0,0.0,,0.0
8.0,7.34,,0.04,70.0,,2.0
7.7,7.2,,0.01,23.0,,2.0
8.0,7.05,,0.09,50.0,,2.0
6.0,6.2,27.9,0.26,3000.0,50000.0,2.0
7.3,6.8,53.2,0.03,13000.0,22000.0,2.0
7.9,7.0,64.7,0.04,30.0,50.0,2.0
6.4,6.9,79.7,0.18,23.0,30.0,2.0
6.0,6.2,,0.26,3000.0,,2.0
7.3,6.8,,0.03,1300.0,,2.0
7.9,7.0,,0.04,30.0,,2.0
6.4,6.9,,0.18,23.0,,2.0
8.0,7.3,50.2,0.09,50.0,50.0,2.0
8.0,7.4,67.3,0.02,2.0,2.0,2.0
7.4,7.8,70.6,0.07,2.0,2.0,2.0
0.0,0.0,,0.0,0.0,,0.0
8.0,7.3,,0.09,50.0,,2.0
8.0,7.4,,0.02,2.0,,2.0
7.4,7.8,,0.07,2.0,,2.0
7.1,7.8,,0.08,1100.0,,2.0
8.0,7.4,,0.15,80.0,,2.0
7.3,7.1,,0.02,2.0,,2.0
7.2,6.5,,0.14,0.0,,2.0
7.0,7.5,,0.11,3000.0,,3.0
7.4,7.2,,0.04,2.0,,2.0
7.9,7.4,,0.05,400.0,,2.0
6.7,7.1,,0.1,2300.0,,2.0
6.4,7.3,,0.01,5000.0,,2.0
7.0,7.2,,0.01,30.0,,2.0
7.2,7.2,,0.01,70.0,,2.0
6.1,6.6,,0.01,500.0,,2.0
6.7,6.5,,0.16,,,2.0
8.1,7.3,,0.02,,,2.0
7.8,6.9,,0.06,,,2.0
6.8,6.4,,0.02,,,3.0
6.7,6.5,,0.16,1400.0,,2.0
8.1,7.3,,0.02,2.0,,2.0
7.8,6.9,,0.06,2.0,,2.0
6.8,6.4,,0.02,3000.0,,3.0
7.3,6.4,,0.0,1100.0,,2.0
7.8,6.9,,0.0,2800.0,,2.0
7.9,7.2,,0.0,90.0,,2.0
6.6,6.8,,0.0,1400.0,,2.0
6.8,7.0,,0.18,17000.0,,2.9
7.4,6.8,,0.03,500.0,,2.0
7.8,6.7,,0.02,1100.0,,2.0
6.9,5.4,,0.12,160000.0,,2.0
7.7,,,0.16,,12033.0,2.0
7.3,,,0.12,,8164.0,2.0
8.2,7.4,,0.03,,1956.0,2.0
7.0,6.4,,0.35,,24196.0,2.0
7.5,7.0,35.7,0.92,,24196.0,
8.3,6.6,55.3,0.38,,11198.7,
7.4,6.6,,1.03,,24196.0,2.0
8.1,7.2,,0.32,,383.0,2.0
7.5,6.1,,0.47,,24196.0,2.0
8.7,7.1,,0.37,,14136.1,2.0
6.1,6.4,,0.01,50.0,,2.0
7.2,5.6,,0.08,8000.0,,2.0
8.3,7.1,,0.14,50.0,,2.0
8.0,6.9,,0.01,2.0,,2.0
8.0,5.7,,0.08,50000.0,,6.0
7.6,6.6,,0.0,230.0,,2.0
7.9,6.7,,0.0,70.0,,2.0
8.0,7.0,,0.0,140.0,,2.0
7.2,7.4,,0.0,220.0,,2.0
7.1,7.4,,0.1,230.0,,2.0
7.8,6.6,,0.12,2200.0,,2.0
7.9,6.3,,0.03,30.0,,2.0
7.5,5.9,,0.06,50000.0,,2.0
6.9,,,0.53,,24196.0,2.0
7.2,,,0.29,,3448.0,2.0
7.7,6.6,,0.11,,7270.0,2.0
7.8,6.7,,0.26,,24196.0,2.0
8.1,6.5,12.3,0.48,,24196.0,
8.2,6.4,42.6,0.35,,1793.4,
6.9,6.9,,0.23,,1.0,2.0
7.6,6.2,,0.67,,3255.4,2.2
9.4,6.9,,1.75,,3654.0,2.0
7.6,6.4,,0.51,,24196.0,2.0
5.3,6.1,,0.01,70.0,,3.0
6.7,5.5,,0.11,5000.0,,2.0
8.0,6.8,,0.06,70.0,,2.0
7.0,6.5,,0.01,2.0,,2.0
7.9,5.8,,0.07,5000.0,,4.0
7.5,6.5,,0.0,300.0,,2.0
7.6,6.6,,0.0,50.0,,2.0
7.5,6.6,,0.0,1300.0,,2.0
7.0,7.1,,0.0,140.0,,2.0
7.1,6.7,,0.08,3000.0,,2.0
7.5,5.8,,0.06,350.0,,2.0
7.7,5.8,,0.05,80.0,,2.0
7.0,5.9,,0.04,22000.0,,2.0
5.2,,,0.1,,10462.0,2.0
5.9,6.3,,0.04,,3448.0,2.0
7.5,6.3,,0.35,,24196.0,2.0
7.2,6.9,15.5,0.3,,24196.0,
7.7,6.2,44.7,0.31,,3873.2,
4.2,5.9,,0.56,,3654.0,3.2
9.7,6.8,,0.92,,3075.9,2.0
7.7,6.0,,0.39,,24196.0,2.0
5.9,7.0,,0.12,300.0,,2.0
7.2,6.4,,0.09,280.0,,2.0
8.4,6.7,,0.08,2.0,,2.0
8.0,7.2,,0.02,110.0,,2.0
6.9,6.9,,0.02,1100.0,,2.0
7.0,6.7,,0.0,500.0,,2.0
8.5,7.1,,0.0,140.0,,2.0
6.9,7.1,,0.0,50.0,,2.0
7.0,7.2,,0.0,0.0,,2.0
6.5,6.2,,0.45,17000.0,,2.0
8.6,6.2,,0.1,50.0,,2.0
8.4,6.5,,0.12,13000.0,,2.0
6.1,6.0,,0.17,1100.0,,2.0
7.4,,,0.29,,24196.0,2.0
7.7,,,0.43,,6866.7,2.0
8.1,7.9,,1.05,,1725.0,2.0
7.6,6.4,,0.54,,24196.0,2.0
6.8,6.8,39.2,1.4,,24196.0,
8.4,6.5,49.7,0.33,,2187.0,
7.0,6.2,,0.86,,24196.0,2.0
8.2,6.8,,0.3,,1726.0,2.0
8.8,6.9,,0.47,,24196.0,2.0
7.8,6.1,,0.52,,19862.9,2.0
,7.7,29.0,,,,
,6.5,60.0,,,,
,,6.4,,,,
,,7.3,,,,
,7.2,28.0,,,,
,,45.0,,,,
,5.6,44.0,,,,
9.0,,100.0,,,,
7.4,7.2,52.8,,,,
8.0,7.2,61.0,,,,
6.8,7.2,42.0,,,,
8.3,6.78,52.0,,,,
6.5,6.78,59.8,,,,
7.4,6.7,53.0,,,,
,7.06,49.0,,,,
,7.16,36.0,,,,
7.72,6.09,50.0,,,,
6.06,7.08,34.0,,,,
7.33,7.35,41.0,,,,
,7.7,79.96,,,,
5.87,7.11,41.6,,,,
5.96,7.19,54.0,,,,
5.39,6.73,37.0,,,,
6.89,7.11,42.96,,,,
7.37,7.16,52.0,,,,
5.94,7.17,59.0,,,,
3.36,6.98,41.0,,,,
8.16,7.21,46.0,,,,
5.03,7.41,60.0,,,,
,7.4,46.7,,,,
4.42,7.44,56.0,,,,
4.68,6.94,58.0,,,,
5.51,6.4,29.0,,,,
7.14,7.35,44.0,,,,
5.68,6.22,65.0,,,,
5.42,6.64,43.0,,,,
,7.5,49.4,,,,
5.55,7.4,58.0,,,,
7.66,7.23,48.0,,,,
,7.17,52.0,,,,
6.04,7.02,70.0,,,,
5.35,6.54,65.0,,,,
5.9,6.75,43.0,,,,
,6.78,57.0,,,,
8.13,7.6,81.0,,,,
7.89,6.8,37.5,,,,
10.2,7.3,46.9,,,,
7.5,6.8,85.3,,,,
7.6,6.0,47.0,,,,
7.31,7.19,33.1,,,,
67.9,7.41,,,,,
7.0,6.9,26.1,,,,
9.24,7.6,57.9,,,,
7.5,7.8,76.1,,,,
6.6,6.6,,0.01,220.0,,2.0
7.3,6.3,,0.11,5000.0,,2.0
8.3,6.6,,0.03,50.0,,2.0
7.7,6.8,,0.04,50.0,,2.0
6.5,6.2,,0.02,8000.0,,3.0
7.4,6.2,,0.0,220.0,,2.0
7.4,6.6,,0.0,22000.0,,2.0
7.6,6.8,,0.0,800.0,,2.0
6.6,6.9,,0.0,28000.0,,2.0
6.7,7.4,,0.14,1400.0,,2.0
7.9,6.4,,0.06,1300.0,,2.0
8.1,5.9,,0.02,1100.0,,2.0
7.2,5.6,,0.18,22000.0,,2.0
7.4,,,0.12,,12033.0,2.0
7.7,,,0.19,,24196.0,2.0
7.0,7.1,,0.13,,2755.0,2.0
7.2,6.3,,0.46,,24196.0,2.0
7.4,7.2,55.4,1.12,,24196.0,
8.4,6.6,70.1,0.34,,682.8,
6.4,6.3,,0.98,,17328.9,2.0
8.0,6.8,,0.3,,1178.0,2.0
7.6,6.1,,0.48,,24196.0,2.0
9.3,7.1,,0.98,,906.3,2.0
5.5,5.2,,0.01,230.0,,2.0
6.1,5.1,,0.08,2.0,,2.0
6.6,5.2,,0.06,60.0,,2.0
6.0,5.1,,0.01,110.0,,2.0
5.5,5.2,,0.01,500.0,,2.0
6.0,5.7,,0.0,5000.0,,2.0
6.6,5.5,,0.0,50.0,,2.0
5.6,5.5,,0.0,1700.0,,2.0
5.8,6.6,,0.0,50.0,,2.0
5.5,6.1,,0.04,500.0,,2.0
7.1,4.9,,0.09,23.0,,2.0
6.8,5.2,,0.15,1300.0,,2.0
4.8,5.5,,0.01,2300.0,,2.0
3.2,,,0.1,,24196.0,2.0
4.6,,,0.1,,2480.9,2.0
3.6,5.8,,0.1,,7701.0,2.0
2.3,5.0,,0.02,,3654.0,2.0
4.5,5.1,25.3,0.11,,1274.0,
3.6,5.4,18.0,0.12,,14136.1,
4.1,4.7,,0.45,,797.6,2.0
2.3,5.2,,0.24,,1187.0,2.0
5.8,4.9,,0.7,,1112.0,2.0
5.7,5.7,,0.14,,24195.7,2.0
6.6,6.6,,0.04,500.0,,2.0
7.0,6.0,,0.01,2300.0,,2.0
7.3,6.6,,0.15,1300.0,,2.0
7.7,6.6,,0.06,280.0,,3.0
7.1,6.6,,0.03,1700.0,,2.0
7.4,6.4,,0.0,160000.0,,2.1
8.2,6.8,,0.0,50.0,,2.2
7.4,6.9,,0.0,80.0,,2.0
7.4,7.2,,0.0,2300.0,,2.0
7.0,6.7,,0.06,3500.0,,2.0
8.8,6.0,,0.22,23.0,,2.0
7.9,6.4,,0.34,1700.0,,2.0
6.7,6.3,,0.18,230.0,,2.0
8.0,,,0.41,,6131.4,3.7
7.4,,,0.28,,24196.0,2.0
8.1,7.4,,0.17,,2489.0,2.0
7.2,6.6,,0.44,,24196.0,2.0
6.1,6.4,51.6,0.87,,24196.0,
8.2,6.5,79.6,0.54,,2612.0,
7.7,6.3,,1.0,,15531.2,2.0
7.8,6.5,,1.04,,1301.0,2.0
9.5,6.2,,0.22,,10462.0,2.0
7.6,6.1,,0.53,,24196.0,2.0
,6.0,60.0,,,,
,7.3,,,,,
,7.1,,,,,
8.8,6.9,57.0,,,,
,,78.0,,,,
,8.5,57.0,,,,
8.8,,75.0,,,,
5.6,6.9,45.0,0.12,1.1,2.8,2.0
6.9,7.8,73.0,0.11,50.0,2.2,4.0
5.6,7.43,45.0,0.12,1100.0,2800.0,2.0
6.9,,73.6,0.11,50.0,2200.0,4.0
5.6,7.1,44.6,0.09,3000.0,17000.0,4.0
6.3,6.9,27.9,0.38,13000.0,13000.0,2.0
7.2,6.9,53.0,0.08,240.0,1.6,2.0
7.2,6.9,51.0,0.05,23.0,30.0,2.0
7.0,6.9,59.5,0.07,300.0,500.0,4.0
7.0,,59.5,0.07,300.0,500.0,4.0
5.6,,44.6,0.09,3000.0,17000.0,4.0
6.3,,27.9,0.38,13000.0,13000.0,2.0
7.2,,53.0,0.08,240.0,1600.0,2.0
7.2,,51.0,0.05,23.0,30.0,2.0
8.1,7.4,67.6,0.01,110.0,900.0,2.0
5.4,6.8,21.4,0.08,13000.0,30000.0,2.0
8.1,,67.6,0.01,110.0,900.0,2.0
8.1,7.4,83.8,0.03,30.0,500.0,2.0
6.9,6.2,19.4,0.19,2200.0,30000.0,3.0
6.9,,19.4,0.19,2200.0,30000.0,3.0
5.4,,21.4,0.08,13000.0,30000.0,2.0
8.1,,67.6,0.01,110.0,900.0,2.0
8.1,,83.8,0.03,30.0,500.0,2.0
6.8,6.3,26.5,0.02,1.7,5.0,2.0
8.1,7.3,49.9,0.12,700.0,1.7,2.0
7.4,7.3,71.4,0.13,500.0,500.0,3.0
7.8,7.6,89.4,0.16,50.0,280.0,3.0
6.8,,26.5,0.02,1700.0,5000.0,2.0
8.1,7.02,49.9,0.12,700.0,1700.0,2.0
7.4,7.54,71.4,0.13,500.0,500.0,3.0
7.8,,69.4,0.16,50.0,280.0,3.0
7.5,7.36,61.8,0.08,80.0,1.7,2.0
6.4,6.71,28.5,0.12,7000.0,30000.0,4.0
7.5,7.95,61.8,0.08,80.0,1700.0,2.0
8.8,7.69,81.6,0.07,30.0,140.0,2.0
7.2,6.13,,0.05,2.3,3.0,2.0
7.2,7.24,,0.05,2300.0,3000.0,2.0
6.4,7.67,28.5,0.12,7000.0,30000.0,4.0
7.5,7.95,61.8,0.08,80.0,1700.0,2.0
8.8,7.79,81.6,0.07,30.0,140.0,2.0
6.4,6.71,,0.12,7000.0,,4.0
7.5,7.36,,0.08,80.0,,2.0
8.8,7.69,,0.07,30.0,,2.0
7.2,6.13,,0.05,2300.0,,2.0
6.0,6.59,16.2,0.08,22.0,50.0,2.0
7.9,7.31,61.5,0.09,170.0,800.0,2.0
7.7,7.52,68.5,0.1,170.0,230.0,2.0
8.2,7.31,88.1,0.03,50.0,110.0,2.0
6.0,6.88,16.2,0.08,22000.0,50000.0,2.0
7.9,7.85,61.5,0.09,170.0,800.0,2.0
7.7,7.45,68.5,0.1,170.0,230.0,2.0
8.2,7.78,88.1,0.03,50.0,110.0,2.0
6.0,6.59,,0.08,22000.0,,2.0
7.9,7.31,,0.09,170.0,,2.0
7.7,7.52,,0.1,170.0,,2.0
8.2,7.31,,0.03,50.0,,2.0
7.9,7.3,74.9,0.05,50.0,70.0,2.0
7.4,7.2,71.4,0.16,50.0,50.0,2.0
6.6,6.8,63.5,0.1,3.0,5.0,2.0
6.1,6.5,27.3,0.14,2.3,8.0,2.0
6.1,6.5,,0.14,2300.0,,2.0
6.6,6.8,,0.1,3000.0,,2.0
7.9,7.3,,0.05,50.0,,2.0
7.4,7.2,,0.16,50.0,,2.0
8.0,7.3,55.1,0.11,130.0,130.0,2.0
8.2,7.5,72.0,0.05,60.0,60.0,2.0
7.3,7.6,60.9,0.17,50.0,60.0,2.0
0.0,0.0,,0.0,0.0,,0.0
8.0,7.3,,0.11,130.0,,2.0
8.2,7.5,,0.05,60.0,,2.0
7.3,7.6,,0.17,50.0,,2.0
6.6,7.8,,0.12,2300.0,,2.0
8.1,7.1,,0.11,350.0,,2.0
7.6,7.4,,0.07,2.0,,2.0
6.9,6.2,,0.06,0.0,,2.0
6.7,7.4,,0.07,2300.0,,3.0
7.4,7.2,,0.04,2.0,,2.0
8.0,7.7,,0.06,200.0,,2.0
6.8,6.6,,0.05,8000.0,,2.0
6.6,7.2,,0.01,2300.0,,2.0
6.9,7.1,,0.03,50.0,,2.0
7.3,7.2,,0.01,50.0,,2.0
6.7,6.7,,0.08,300.0,,2.0
6.7,6.0,,0.06,,,2.0
8.0,7.3,,0.02,,,2.0
8.3,7.0,,0.02,,,2.0
6.9,6.3,,0.22,,,2.0
6.7,6.0,,0.06,800.0,,2.0
8.0,7.3,,0.02,70.0,,2.0
8.3,7.0,,0.02,2.0,,2.0
6.9,6.3,,0.22,3000.0,,2.0
7.1,6.6,,0.0,160000.0,,2.0
7.8,6.9,,0.0,800.0,,2.0
7.9,7.1,,0.0,350.0,,2.0
6.5,6.8,,0.0,170.0,,2.0
6.9,7.4,,0.04,1300.0,,2.0
7.5,6.6,,0.11,1300.0,,2.0
8.6,6.6,,0.06,1400.0,,2.0
7.1,,,0.24,,11199.0,2.0
8.0,,,0.26,,19862.0,2.0
8.1,6.9,,0.06,,4352.0,2.0
7.6,6.6,,0.34,,24196.0,2.0
7.3,6.7,22.1,0.67,,24196.0,
8.4,6.4,52.8,0.54,,17328.9,
8.2,7.4,,0.31,,85.0,2.0
7.2,6.1,,0.86,,24196.0,2.0
7.5,6.3,,0.52,,24196.0,2.0
9.9,6.9,,0.57,,14136.1,2.0
,8.9,,,,,
,,51.0,,,,
2.2,6.4,81.0,,,,
,7.2,22.0,,,,
8.3,,79.0,,,,
,6.7,19.5,,,,
7.0,6.8,23.3,,,,
6.6,7.6,78.0,,,,
6.8,7.1,21.0,,,,
8.1,6.97,74.0,,,,
6.3,7.9,75.9,,,,
6.4,6.92,74.0,,,,
,6.82,68.0,,,,
,6.37,35.0,,,,
6.91,7.84,63.0,,,,
5.48,7.9,46.0,,,,
6.04,7.31,61.0,,,,
,7.0,67.0,,,,
,6.21,42.0,,,,
6.09,6.18,35.0,,,,
5.81,6.73,26.0,,,,
6.71,7.87,57.0,,,,
,8.03,6.13,,,,
5.17,7.31,53.9,,,,
6.43,7.85,77.0,,,,
5.68,7.57,66.0,,,,
5.89,7.61,61.68,,,,
7.09,7.46,64.0,,,,
6.35,7.82,94.0,,,,
3.74,7.37,56.0,,,,
7.52,7.08,56.0,,,,
5.37,7.44,75.0,,,,
,7.3,45.0,,,,
5.58,7.33,65.0,,,,
6.54,7.41,97.0,,,,
5.81,7.28,56.0,,,,
6.83,7.55,55.0,,,,
6.12,6.84,51.0,,,,
5.5,6.14,30.0,,,,
,7.5,76.3,,,,
5.39,7.08,,,,,
6.87,6.31,17.0,,,,
7.36,6.82,54.62,,,,
7.84,7.51,90.4,,,,
6.74,7.41,72.0,,,,
6.86,6.47,12.1,,,,
7.03,7.03,32.9,,,,
7.75,8.12,87.5,,,,
6.98,7.08,18.8,,,,
6.7,8.18,,,,,
4.6,8.68,,,,,
5.5,7.5,,,,,
6.1,7.82,,,,,
3.8,,,,,,
4.0,7.28,,,,,
6.1,7.67,,,,,
7.8,8.2,,,,,
3.5,7.08,,,,,
7.2,7.58,,,,,
7.9,8.7,,,,,
6.6,8.07,,,,,
8.1,6.67,,,,,
7.8,8.19,,,,,
6.6,8.1,,,,,
7.7,7.53,,,,,
6.7,8.05,,,,,
7.8,7.58,,,,,
6.7,8.03,,,,,
6.6,7.92,,,,,
6.5,7.78,,,,,
8.0,8.07,,,,,
6.0,7.32,,,,,
0.1,7.49,,,,,
6.2,7.55,,,,,
6.9,7.74,,,,,
7.1,7.9,,,,,
3.9,6.98,,,,,
7.4,7.68,,,,,
6.1,7.45,,,,,
6.5,7.37,,,,,
6.9,7.95,,,,,
3.4,6.98,,,,,
7.2,7.81,,,,,
8.8,6.34,,,,,
4.7,,,,,,
5.9,7.61,,,,,
7.4,7.65,,,,,
5.0,7.54,,,,,
7.6,7.78,,,,,
3.8,,,,,,
2.2,6.65,,,,,
3.3,6.49,,,,,
4.1,6.39,,,,,
2.2,6.64,,,,,
3.8,6.3,,,,,
3.8,6.23,,,,,
2.1,7.51,,,,,
,,,,,,
5.4,6.26,,,,,
1.9,6.61,,,,,
2.9,6.33,,,,,
2.3,6.69,,,,,
3.5,6.46,,,,,
2.7,6.73,,,,,
4.4,6.22,,,,,
1.9,6.9,,,,,
5.6,7.34,,,,,
3.9,6.76,,,,,
2.4,6.6,,,,,
3.7,6.46,,,,,
4.2,7.64,,,,,
2.1,6.26,,,,,
3.0,6.83,,,,,
3.0,6.97,,,,,
3.3,6.87,,,,,
4.6,,,,,,
2.9,6.65,,,,,
7.9,6.94,,,,,
2.8,6.35,,,,,
2.6,6.61,,,,,
1.9,6.39,,,,,
6.0,6.39,,,,,
2.1,6.64,,,,,
4.5,6.21,,,,,
3.6,6.35,,,,,
4.0,6.26,,,,,
4.1,6.63,,,,,
2.5,6.58,,,,,
4.3,6.26,,,,,
3.0,6.79,,,,,
2.8,6.32,,,,,
2.9,6.95,,,,,
4.1,6.78,,,,,
5.0,6.13,,,,,
6.3,6.37,,,,,
3.9,,,,,,
3.8,6.67,,,,,
4.2,6.8,,,,,
3.1,6.92,,,,,
5.7,6.87,,,,,
4.0,6.12,,,,,
4.0,6.48,,,,,
3.8,7.02,,,,,
2.4,6.73,,,,,
3.9,6.96,,,,,
2.5,6.77,,,,,
4.8,6.89,,,,,
2.9,6.57,,,,,
6.5,6.6,,0.01,800.0,,2.0
2.3,5.8,,0.07,130.0,,2.0
3.9,6.3,,0.12,13000.0,,2.0
6.3,6.6,,0.12,2.0,,2.0
7.6,6.6,,0.03,17000.0,,2.0
8.4,6.8,,0.0,1700.0,,2.0
3.3,6.4,,0.0,3000.0,,2.0
5.9,6.6,,0.0,24000.0,,2.0
3.9,7.0,,0.0,23.0,,2.0
3.9,6.8,,0.14,900.0,,2.0
6.2,6.2,,0.11,110.0,,2.0
5.9,6.0,,0.17,13000.0,,2.0
3.3,5.8,,0.11,5000.0,,2.0
3.4,,,0.57,,3076.0,2.0
4.3,,,0.27,,8664.0,2.0
6.8,6.8,,0.07,,1224.0,2.0
6.2,6.9,,0.4,,8664.4,2.0
4.8,6.2,75.8,0.38,,4351.7,
5.9,6.9,86.7,0.89,,17328.9,
6.5,6.8,,0.44,,41.0,2.0
4.2,5.9,,0.63,,24196.0,2.0
6.3,7.0,,0.59,,3448.0,2.0
2.6,6.2,,0.49,,5172.1,2.0
,,679.0,,,,
,,160.0,,,,
4.3,6.5,1664.0,0.88,,,
,,196.0,,,,
,6.9,260.0,,,,
,,,,,,
,,1470.0,,,,
,,290.0,,,,
,,4094.0,,,,
,,1225.0,,,,
,6.5,240.0,,,,
,,620.0,,,,
6.0,6.4,92.0,,,,
,,1224.0,,,,
,5.4,1000.0,,,,
5.0,6.4,530.0,,,,
7.0,6.1,1200.0,,,,
18.0,7.1,144.0,,,,
,6.7,313.0,,,,
7.0,6.6,750.0,,,,
10.0,6.5,606.0,,,,
,,3162.0,,,,
3.4,7.1,91.2,0.66,,,
6.0,,3290.0,,,,
4.5,6.0,2848.0,1.8,,,
4.5,7.2,27300.0,,,,
3.7,5.4,2408.0,1.8,,,
,6.2,2156.0,0.88,,,
6.6,5.5,5187.0,1.8,,,
6.2,6.0,1862.0,0.88,,,
5.5,6.0,3552.0,0.88,,,
4.0,8.8,48.0,0.88,,,
3.6,6.3,2093.0,0.88,,,
6.5,6.0,294.0,,,,
,,1176.0,,,,
,,2496.0,,,,
,,2106.0,,,,
,,3052.0,,,,
4.8,,3204.0,,,,
4.0,6.7,3456.0,0.88,,,
,,1424.0,0.88,,,
3.4,5.7,4018.0,0.88,,,
5.2,,4182.0,,,,
,,1728.0,,,,
3.5,8.2,107.0,0.88,,,
,,4316.0,,,,
,,1519.0,,,,
7.3,5.1,1976.0,0.88,,,
,,1456.0,,,,
2.9,4.6,3404.0,0.88,,,
,,3060.0,,,,
3.9,6.4,1044.0,0.66,,,
,,2644.0,,,,
,,2744.0,,,,
,5.5,1219.0,,,,
4.0,6.9,90.0,,,,
3.0,6.3,245.0,,,,
,4.1,1320.0,,,,
,,2156.0,,,,
,,1470.0,,,,
,,132.0,,,,
9.0,7.2,141.0,,,,
4.0,6.5,588.0,,,,
,,1692.0,,,,
,,1598.0,,,,
12.0,8.1,74.0,,,,
,7.6,163.5,0.88,,,
,6.6,518.4,0.88,,,
6.9,6.9,322.4,2.6,,,
,6.2,2726.0,,,,
7.0,7.0,4033.0,0.88,,,
,6.2,3219.0,,,,
,,,1.8,,,
4.9,6.5,3038.0,0.88,,,
9.0,7.4,153.0,0.88,,,
6.0,6.9,1786.0,0.88,,,
,5.8,408.0,2.6,,,
,5.6,4182.0,1.8,,,
,5.4,4000.0,3.7,,,
,5.6,4680.0,1.8,,,
,6.0,3234.0,,,,
6.1,6.2,3120.0,1.8,,,
4.6,6.6,180.0,2.6,,,
6.5,7.2,521.7,0.66,,,
5.1,6.7,2880.0,0.88,,,
,6.5,1104.0,0.88,,,
,4.2,2940.0,1.8,,,
,6.0,2352.0,0.88,,,
7.0,7.2,438.6,0.22,,,
,,2492.0,0.88,,,
5.0,6.2,830.0,0.88,,,
7.0,3.0,5564.0,1.8,,,
,6.2,1960.0,0.66,,,
4.5,7.4,41.42,0.88,,,
,6.6,2912.0,0.88,,,
6.0,6.8,765.0,0.88,,,
4.0,6.9,124.8,1.1,,,
,6.0,3920.0,2.2,,,
6.8,6.3,5612.0,0.9,,,
,,4095.0,1.8,,,
6.4,4.0,5500.0,1.3,,,
,5.4,3100.0,3.7,,,
,2.9,8175.0,0.44,,,
,6.4,5005.0,1.8,,,
,5.8,4350.0,3.5,,,
,7.2,4320.0,1.8,,,
,6.2,555.0,1.8,,,
,8.0,5760.0,2.2,,,
,6.0,4900.0,0.4,,,
,4.8,4140.0,1.8,,,
,3.9,6048.0,5.5,,,
,6.1,3500.0,1.3,,,
5.6,5.0,4508.0,0.9,,,
,2.6,5280.0,1.8,,,
,1.5,6200.0,1.8,,,
,1.9,5720.0,1.8,,,
4.6,3.4,4350.0,0.88,,,
,6.0,4160.0,1.8,,,
,6.4,5200.0,1.3,,,
7.2,5.8,5760.0,1.8,,,
6.8,5.8,4368.0,0.4,,,
5.1,6.6,3640.0,0.4,,,
7.2,6.3,5704.0,1.1,,,
7.6,6.5,4000.0,0.9,,,
5.8,6.6,4230.0,1.8,,,
7.4,6.3,4608.0,0.7,,,
6.8,3.7,5390.0,1.1,,,
7.8,6.3,4128.0,1.3,,,
6.5,6.4,5100.0,0.4,,,
7.0,7.3,35.0,0.0,,,
8.0,7.5,57.0,,,,
8.0,7.7,61.0,,,,
8.0,7.3,65.0,,,,
7.0,7.4,49.0,,,,
8.0,7.7,49.0,,,,
8.0,8.2,50.0,,,,
8.0,7.8,50.0,,,,
9.0,7.9,52.0,0.02,,,
6.0,7.5,150.0,,,,
7.0,7.3,51.0,,,,
11.0,7.3,51.0,,,,
10.0,7.2,56.0,,,,
15.0,7.5,88.0,,,,
15.0,7.3,52.0,,,,
7.0,6.95,50.0,,,,
4.0,6.7,96.0,,,,
9.0,7.0,58.0,,,,
6.0,6.8,51.0,,,,
4.0,6.5,65.0,,,,
3.0,6.7,59.0,,,,
3.0,6.7,61.0,,,,
